ad_id,ad_type,real_estate_type,region,city,type,living_area,land_area,floor,building_year,price,seller
6599717,prodaja,hiša,podravska,zgornji leskovec,samostojna,165.8,60658.0,,1967,179000.0,"c-nep agencija, d.o.o."
6748899,prodaja,hiša,podravska,zgornji porčič,samostojna,240.0,6650.0,k+p+m,1967,189000.0,zasebna ponudba
6817505,prodaja,hiša,podravska,zimica,samostojna,202.0,667.0,,1988,290000.0,zasebna ponudba
6830157,prodaja,hiša,podravska,zimica,samostojna,139.52,35000.0,k+p+m,1950,349000.0,24nep d.o.o.
6840672,prodaja,hiša,podravska,zlatoličje,samostojna,150.23,402.0,,2025,280000.0,"agenti nepremičninsko posredovanje, d.o.o."
6674908,prodaja,hiša,podravska,zlatoličje,samostojna,350.0,1012.0,,1980,233100.0,market center omnis d.o.o.
6812202,prodaja,hiša,podravska,zlatoličje,samostojna,380.0,587.0,,1993,259000.0,"c-nep agencija, d.o.o."
6744316,prodaja,hiša,podravska,žerovinci,samostojna,122.1,750.0,,2024,219900.0,"c-nep agencija, d.o.o."
6817412,prodaja,hiša,podravska,žetale,samostojna,215.3,38249.0,k+p+m,1972,129900.0,"agenti nepremičninsko posredovanje, d.o.o."
6812243,prodaja,hiša,podravska,župetinci,samostojna,313.0,9630.0,k+p+m,1999,135000.0,market center omnis d.o.o.
6591330,prodaja,hiša,podravska,žvab,samostojna,33.0,3990.0,,1800,29990.0,jeruzalem ormož sat d.o.o.
6288513,prodaja,hiša,podravska,žvab,drugo,550.0,5226.0,,1747,130000.0,"nepremičninska družba d.o.o., pe re/max poetovio"
6754893,prodaja,hiša,podravska,žvab,samostojna,200.97,4069.0,k+p+m,1985,185000.0,zasebna ponudba
6846050,prodaja,stanovanje,notranjska,cerknica,1-sobno,50.85,,p/3,2021,215000.0,zasebna ponudba
6841124,prodaja,stanovanje,notranjska,cerknica,"2,5-sobno",62.7,,1/2,1964,155000.0,ilira nepremičnine d.o.o.
6713343,prodaja,stanovanje,notranjska,cerknica,3-sobno,118.9,,p/1,1972,153000.0,nepremičnine land d.o.o.
6713618,prodaja,stanovanje,notranjska,cerknica,3-sobno,141.1,,p/1,1972,145000.0,nepremičnine land d.o.o.
6835320,prodaja,stanovanje,notranjska,dolnja košana,3-sobno,63.8,,4/5,1975,108000.0,nepremičnine land d.o.o.
6835683,prodaja,stanovanje,notranjska,ilirska bistrica,2-sobno,82.7,,1,1950,81000.0,stanovanjski sklad rs
6269354,prodaja,stanovanje,notranjska,ilirska bistrica,2-sobno,59.0,,4/4,1980,86000.0,zasebna ponudba
6789924,prodaja,stanovanje,notranjska,pivka,2-sobno,45.0,,1/3,2025,129920.0,nepremičnine land d.o.o.
6789922,prodaja,stanovanje,notranjska,pivka,2-sobno,45.0,,1/3,2025,129920.0,nepremičnine land d.o.o.
6789930,prodaja,stanovanje,notranjska,pivka,2-sobno,45.0,,3/3,2025,132160.0,nepremičnine land d.o.o.
6789926,prodaja,stanovanje,notranjska,pivka,2-sobno,45.0,,2/3,2025,131040.0,nepremičnine land d.o.o.
6789921,prodaja,stanovanje,notranjska,pivka,2-sobno,45.8,,p/3,2025,129920.0,nepremičnine land d.o.o.
6789931,prodaja,stanovanje,notranjska,pivka,2-sobno,56.6,,p/3,2025,142500.0,nepremičnine land d.o.o.
6790040,prodaja,stanovanje,notranjska,pivka,2-sobno,58.8,,p/3,2025,157000.0,nepremičnine land d.o.o.
6789919,prodaja,stanovanje,notranjska,pivka,"2,5-sobno",60.7,,p/3,2025,157088.0,nepremičnine land d.o.o.
6789927,prodaja,stanovanje,notranjska,pivka,"2,5-sobno",60.7,,3/3,2025,168270.0,nepremičnine land d.o.o.
6789925,prodaja,stanovanje,notranjska,pivka,"2,5-sobno",60.7,,2/3,2025,167738.0,nepremičnine land d.o.o.
6789928,prodaja,stanovanje,notranjska,pivka,"2,5-sobno",60.7,,3/3,2025,168270.0,nepremičnine land d.o.o.
6789923,prodaja,stanovanje,notranjska,pivka,"2,5-sobno",60.7,,1/3,2025,165608.0,nepremičnine land d.o.o.
6786163,prodaja,stanovanje,notranjska,pivka,3-sobno,72.2,,2/4,1970,140000.0,nepremičnine land d.o.o.
6751147,prodaja,stanovanje,notranjska,planina,2-sobno,43.0,,1/2,1935,70000.0,"niona, nina rangus s.p."
6785386,prodaja,stanovanje,notranjska,postojna,garsonjera,24.0,,p/3,1950,85000.0,zasebna ponudba
6835595,prodaja,stanovanje,notranjska,postojna,1-sobno,42.0,,5/5,2007,145000.0,zasebna ponudba
6770457,prodaja,stanovanje,notranjska,postojna,2-sobno,50.7,,2/3,1900,135000.0,snep nepremičnine d.o.o.
6733570,prodaja,stanovanje,notranjska,postojna,2-sobno,56.9,,1/3,1903,160000.0,nepremičnine land d.o.o.
